"type=image
",
path=/nfs/a1/userhome/xiehailun/workingdir/30_dataset,
data=stimID,label
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/93.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/92.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/77.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/76.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/90.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/95.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/99.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/96.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/78.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/85.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/80.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/86.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/83.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/97.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/100.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/98.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/91.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/87.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/82.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/84.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/89.jpg,0
/nfs/a1/userhome/xiehailun/workingdir/30_dataset/face/validation/012/79.jpg,0
